pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
13,15.0,367.0,20.0,30.0,205.0,0.0,474.0,10.0,0,0,0,0,0,0,367.0,205.0,55.0,False
14,15.0,117.0,20.0,30.0,0.0,0.0,508.0,10.0,0,0,0,0,0,0,117.0,0.0,55.0,False
15,15.0,302.0,20.0,30.0,48.0,149.0,550.0,10.0,0,0,0,0,0,0,302.0,197.0,55.0,False
16,15.0,676.0,20.0,10.0,12.0,20.0,557.0,10.0,0,0,0,0,0,0,676.0,32.0,35.0,False
17,15.0,255.0,20.0,30.0,18.0,0.0,568.0,10.0,0,0,0,0,0,0,255.0,18.0,55.0,False
18,15.0,425.0,20.0,30.0,30.0,181.0,575.0,10.0,0,0,0,0,0,0,425.0,211.0,55.0,False
19,15.0,123.0,35.0,30.0,124.0,339.0,248.0,10.0,0,0,0,0,0,0,123.0,463.0,55.0,False
20,15.0,252.0,35.0,30.0,331.0,557.0,52.0,10.0,0,0,0,0,0,0,252.0,888.0,55.0,False
21,15.0,412.0,20.0,30.0,58.0,16.0,651.0,10.0,0,0,0,0,0,0,412.0,74.0,55.0,False
22,15.0,424.0,20.0,30.0,66.0,0.0,659.0,10.0,0,0,0,0,0,0,424.0,66.0,55.0,False
23,15.0,458.0,3.0,30.0,5.0,17.0,671.0,10.0,0,0,0,0,0,0,458.0,22.0,55.0,False
24,15.0,203.0,35.0,30.0,115.0,671.0,17.0,10.0,0,0,0,0,0,0,203.0,786.0,55.0,False
25,15.0,213.0,20.0,30.0,39.0,0.0,715.0,10.0,0,0,0,0,0,0,213.0,39.0,55.0,False
26,15.0,71.0,20.0,30.0,74.0,0.0,751.0,10.0,0,0,0,0,0,0,71.0,74.0,55.0,False
27,15.0,130.0,20.0,30.0,132.0,0.0,760.0,10.0,0,0,0,0,0,0,130.0,132.0,55.0,False
28,15.0,277.0,20.0,30.0,269.0,67.0,786.0,10.0,0,0,0,0,0,0,277.0,336.0,55.0,False
29,15.0,323.0,20.0,30.0,53.0,5.0,788.0,10.0,0,0,0,0,0,0,323.0,58.0,55.0,False
30,15.0,217.0,35.0,30.0,154.0,651.0,124.0,10.0,0,0,0,0,0,0,217.0,805.0,55.0,False
31,15.0,124.0,35.0,30.0,0.0,550.0,247.0,10.0,0,0,0,0,0,0,124.0,550.0,55.0,False
32,15.0,289.0,20.0,14.0,93.0,16.0,816.0,10.0,0,0,0,0,0,0,289.0,109.0,39.0,False
33,15.0,194.0,20.0,30.0,75.0,0.0,845.0,10.0,0,0,0,0,0,0,194.0,75.0,55.0,False
34,15.0,370.0,35.0,30.0,0.0,575.0,261.0,10.0,0,0,0,0,0,0,370.0,575.0,55.0,False
35,15.0,55.0,20.0,30.0,23.0,0.0,881.0,10.0,0,0,0,0,0,0,55.0,23.0,55.0,False
