pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
128,10.0,124.0,20.0,30.0,0.0,157.0,5.0,8730.0,10.0,0,0,0,0,0,124.0,162.0,50.0,False
129,0.0,0.0,0.0,0.0,195.0,0.0,0.0,8739.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
130,4.0,231.0,20.0,30.0,0.0,250.0,11.0,8746.0,10.0,0,0,0,0,0,231.0,261.0,44.0,False
131,0.0,0.0,0.0,0.0,195.0,0.0,0.0,8830.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
132,0.0,171.0,20.0,30.0,0.0,153.0,171.0,8834.0,10.0,0,0,0,0,0,171.0,324.0,40.0,False
133,15.0,134.0,20.0,30.0,0.0,343.0,0.0,9111.0,10.0,0,0,0,0,0,134.0,343.0,55.0,False
134,15.0,678.0,20.0,30.0,0.0,329.0,9.0,9325.0,10.0,0,0,0,0,0,678.0,338.0,55.0,False
135,15.0,154.0,20.0,30.0,0.0,240.0,0.0,9326.0,10.0,0,0,0,0,0,154.0,240.0,55.0,False
136,15.0,142.0,20.0,30.0,0.0,152.0,0.0,9571.0,10.0,0,0,0,0,0,142.0,152.0,55.0,False
137,15.0,191.0,35.0,30.0,0.0,245.0,9325.0,388.0,10.0,0,0,0,0,0,191.0,9570.0,55.0,False
138,15.0,168.0,20.0,30.0,0.0,306.0,0.0,10067.0,10.0,0,0,0,0,0,168.0,306.0,55.0,False
139,15.0,191.0,16.0,30.0,0.0,153.0,4.0,10168.0,10.0,0,0,0,0,0,191.0,157.0,55.0,False
140,15.0,219.0,35.0,30.0,0.0,0.0,10168.0,4.0,10.0,0,0,0,0,0,219.0,10168.0,55.0,False
141,15.0,540.0,20.0,30.0,0.0,479.0,0.0,10308.0,10.0,0,0,0,0,0,540.0,479.0,55.0,False
142,15.0,418.0,20.0,30.0,0.0,162.0,81.0,10325.0,10.0,0,0,0,0,0,418.0,243.0,55.0,False
143,15.0,102.0,20.0,30.0,0.0,41.0,0.0,10521.0,10.0,0,0,0,0,0,102.0,41.0,55.0,False
144,15.0,465.0,20.0,30.0,0.0,399.0,0.0,10612.0,10.0,0,0,0,0,0,465.0,399.0,55.0,False
145,15.0,160.0,35.0,30.0,0.0,107.0,10325.0,293.0,10.0,0,0,0,0,0,160.0,10432.0,55.0,False
146,15.0,100.0,20.0,30.0,0.0,223.0,0.0,10639.0,10.0,0,0,0,0,0,100.0,223.0,55.0,False
147,0.0,153.0,20.0,30.0,0.0,286.0,143.0,10726.0,10.0,0,0,0,0,0,153.0,429.0,40.0,False
148,12.0,267.0,20.0,30.0,0.0,161.0,78.0,10736.0,10.0,0,0,0,0,0,267.0,239.0,52.0,False
149,0.0,106.0,20.0,30.0,0.0,166.0,154.0,10883.0,10.0,0,0,0,0,0,106.0,320.0,40.0,False
150,0.0,0.0,0.0,0.0,195.0,0.0,0.0,10916.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
151,0.0,215.0,20.0,30.0,0.0,99.0,110.0,10951.0,10.0,0,0,0,0,0,215.0,209.0,40.0,False
152,12.0,88.0,35.0,30.0,0.0,86.0,10758.0,232.0,10.0,0,0,0,0,0,88.0,10844.0,52.0,False
153,0.0,0.0,0.0,0.0,195.0,0.0,0.0,11169.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
154,0.0,255.0,20.0,30.0,0.0,110.0,108.0,11206.0,10.0,0,0,0,0,0,255.0,218.0,40.0,False
155,0.0,482.0,20.0,30.0,0.0,243.0,263.0,11230.0,10.0,0,0,0,0,0,482.0,506.0,40.0,False
156,15.0,434.0,20.0,30.0,0.0,113.0,79.0,11400.0,10.0,0,0,0,0,0,434.0,192.0,55.0,False
157,0.0,497.0,35.0,30.0,0.0,405.0,11368.0,145.0,10.0,0,0,0,0,0,497.0,11773.0,40.0,False
158,15.0,92.0,35.0,30.0,0.0,170.0,11400.0,242.0,10.0,0,0,0,0,0,92.0,11570.0,55.0,False
159,15.0,254.0,20.0,30.0,0.0,99.0,0.0,11899.0,10.0,0,0,0,0,0,254.0,99.0,55.0,False
160,15.0,255.0,20.0,30.0,0.0,276.0,0.0,11967.0,10.0,0,0,0,0,0,255.0,276.0,55.0,False
161,15.0,328.0,20.0,30.0,0.0,223.0,29.0,11973.0,10.0,0,0,0,0,0,328.0,252.0,55.0,False
162,15.0,754.0,20.0,30.0,0.0,186.0,15.0,12024.0,10.0,0,0,0,0,0,754.0,201.0,55.0,False
163,15.0,26.0,20.0,30.0,0.0,126.0,0.0,12063.0,10.0,0,0,0,0,0,26.0,126.0,55.0,False
164,14.0,231.0,20.0,30.0,0.0,303.0,1.0,12100.0,10.0,0,0,0,0,0,231.0,304.0,54.0,False
165,0.0,290.0,20.0,30.0,0.0,263.0,173.0,12117.0,10.0,0,0,0,0,0,290.0,436.0,40.0,False
166,0.0,0.0,0.0,0.0,195.0,0.0,0.0,12124.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
167,0.0,281.0,20.0,30.0,0.0,247.0,150.0,12177.0,10.0,0,0,0,0,0,281.0,397.0,40.0,False
168,15.0,145.0,35.0,30.0,0.0,202.0,11980.0,260.0,10.0,0,0,0,0,0,145.0,12182.0,55.0,False
169,0.0,0.0,0.0,0.0,195.0,0.0,0.0,12268.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
170,15.0,396.0,16.0,30.0,0.0,49.0,12043.0,232.0,10.0,0,0,0,0,0,396.0,12092.0,55.0,False
171,0.0,0.0,0.0,0.0,195.0,0.0,0.0,12276.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
172,0.0,0.0,0.0,0.0,195.0,0.0,0.0,12437.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
173,0.0,319.0,20.0,30.0,0.0,205.0,351.0,12448.0,10.0,0,0,0,0,0,319.0,556.0,40.0,False
174,0.0,193.0,20.0,30.0,0.0,240.0,81.0,12492.0,10.0,0,0,0,0,0,193.0,321.0,40.0,False
175,0.0,445.0,20.0,30.0,0.0,271.0,248.0,12635.0,10.0,0,0,0,0,0,445.0,519.0,40.0,False
176,0.0,393.0,20.0,30.0,0.0,141.0,78.0,12646.0,10.0,0,0,0,0,0,393.0,219.0,40.0,False
177,0.0,521.0,35.0,30.0,0.0,93.0,12751.0,129.0,10.0,0,0,0,0,0,521.0,12844.0,40.0,False
178,0.0,45.0,20.0,30.0,0.0,194.0,67.0,12836.0,10.0,0,0,0,0,0,45.0,261.0,40.0,False
179,0.0,360.0,4.0,30.0,0.0,398.0,12740.0,163.0,10.0,0,0,0,0,0,360.0,13138.0,40.0,False
180,0.0,538.0,20.0,30.0,0.0,118.0,556.0,12895.0,10.0,0,0,0,0,0,538.0,674.0,40.0,False
181,0.0,179.0,35.0,30.0,0.0,60.0,12508.0,421.0,10.0,0,0,0,0,0,179.0,12568.0,40.0,False
182,15.0,155.0,20.0,30.0,0.0,242.0,0.0,12915.0,10.0,0,0,0,0,0,155.0,242.0,55.0,False
183,15.0,245.0,20.0,30.0,0.0,220.0,0.0,13105.0,10.0,0,0,0,0,0,245.0,220.0,55.0,False
184,0.0,353.0,20.0,30.0,0.0,138.0,235.0,13128.0,10.0,0,0,0,0,0,353.0,373.0,40.0,False
185,0.0,199.0,20.0,30.0,0.0,70.0,215.0,13148.0,10.0,0,0,0,0,0,199.0,285.0,40.0,False
186,15.0,580.0,20.0,30.0,0.0,262.0,22.0,13405.0,10.0,0,0,0,0,0,580.0,284.0,55.0,False
187,15.0,374.0,35.0,30.0,0.0,362.0,13405.0,42.0,10.0,0,0,0,0,0,374.0,13767.0,55.0,False
188,0.0,223.0,35.0,30.0,0.0,475.0,13054.0,417.0,10.0,0,0,0,0,0,223.0,13529.0,40.0,False
189,15.0,117.0,20.0,30.0,0.0,152.0,0.0,13507.0,10.0,0,0,0,0,0,117.0,152.0,55.0,False
190,15.0,97.0,20.0,30.0,0.0,156.0,0.0,13704.0,10.0,0,0,0,0,0,97.0,156.0,55.0,False
191,15.0,124.0,20.0,30.0,0.0,145.0,0.0,13746.0,10.0,0,0,0,0,0,124.0,145.0,55.0,False
192,15.0,257.0,20.0,30.0,0.0,203.0,0.0,13867.0,10.0,0,0,0,0,0,257.0,203.0,55.0,False
193,15.0,254.0,20.0,30.0,0.0,0.0,294.0,13885.0,10.0,0,0,0,0,0,254.0,294.0,55.0,False
194,15.0,109.0,20.0,30.0,0.0,94.0,0.0,14042.0,10.0,0,0,0,0,0,109.0,94.0,55.0,False
195,15.0,154.0,20.0,30.0,0.0,163.0,0.0,14077.0,10.0,0,0,0,0,0,154.0,163.0,55.0,False
196,15.0,128.0,20.0,30.0,0.0,44.0,0.0,14115.0,10.0,0,0,0,0,0,128.0,44.0,55.0,False
197,0.0,38.0,20.0,30.0,0.0,295.0,107.0,14137.0,10.0,0,0,0,0,0,38.0,402.0,40.0,False
198,0.0,67.0,20.0,30.0,0.0,125.0,181.0,14139.0,10.0,0,0,0,0,0,67.0,306.0,40.0,False
199,15.0,477.0,35.0,15.0,0.0,0.0,13900.0,294.0,10.0,0,0,0,0,0,477.0,13900.0,40.0,False
